StateName,StateFIPS,PumaState,PUMA,Counties Within PUMA,uninsured_total,uninsured_percent,Foodstamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,%_EducatedPersons
Arizona,4,400122,122,MaricopaCounty(part),15201,14.5,2418,2940,2038,2457,6144,1622,8367,6834,4368,69,3781,9148,1583,241,346,927,11698,245,117,2779,332,14112,1089,277900.76968620485
Arizona,4,400201,201,PimaCounty(part),24822,22.7,7939,6557,5193,4340,6483,2249,1419,1632,4989,1245,18397,4446,767,,464,1673,19555,5736,16852,2234,3426,20103,4607,223467.8913866731
Arizona,4,400202,202,PimaCounty(part),11777,13.1,3373,1241,2132,2301,387,2233,7176,461,2347,2446,3762,5686,1184,155,297,165,848,2663,7372,1742,439,11044,649,174262.59658656703
Arizona,4,400203,203,PimaCounty(part),7583,9.6,460,968,1196,1624,278,1718,4467,3116,161,2265,1781,4886,331,29,163,318,5523,236,434,38,282,7274,63,3805.723328497956
Arizona,4,400204,204,PimaCounty(part),23160,19.0,5584,2135,5285,4799,994,1847,13458,972,283,4118,1693,979,1876,27,252,1525,15266,2999,16298,3863,1819,20474,2328,386370.3713298791
Arizona,4,400205,205,PimaCounty(part),6916,6.8,1677,1301,1141,962,2771,741,3653,3263,1693,2776,817,4646,721,478,184,918,5731,534,4723,1659,177,6705,188,165968.29091960672
Arizona,4,400206,206,PimaCounty(part),20685,15.9,1048,2836,3545,5274,6161,2868,12281,844,5999,561,77,1355,155,537,544,185,12783,2774,15788,2122,557,19932,684,212276.32583998065
Arizona,4,400207,207,PimaCounty(part),25420,14.4,7322,6188,3669,4641,7489,3433,14497,1923,7336,11191,13985,7787,136,589,557,2523,18273,4888,1799,3432,2779,22385,2628,343207.07710464206
Arizona,4,400300,300,NavajoCountyApacheCounty,35762,22.9,9203,8621,5992,5409,11596,4143,19691,1671,7428,15462,3946,9977,29,377,41,2493,249,4156,2853,375,1987,32966,211,37507.97774173704
Arizona,4,400400,400,CoconinoCounty,26418,22.2,6246,5762,5287,4383,8124,2863,14638,11781,6959,9193,3788,12664,292,244,568,1413,21453,4875,17258,4285,1683,24126,775,428565.326671209
Arizona,4,400500,500,YavapaiCounty,28880,18.6,6280,6188,2926,3550,1594,5623,13293,15588,888,9413,486,21447,16,68,999,1199,22274,411,19956,4823,1126,28223,658,482369.0997229917
Arizona,4,400600,600,MohaveCountyLaPazCounty,36705,22.5,8495,8108,4116,6667,11891,5924,22641,1464,11557,13921,8991,2443,56,424,1541,4262,27243,6275,29144,1287,2466,33544,2678,128779.40062661761
Arizona,4,400700,700,YumaCounty,34898,21.7,6956,10617,6759,3894,1525,313,22898,12,996,16947,26237,651,1546,12,162,1461,2358,1165,23829,94,5611,27460,7438,9468.281849962748
Arizona,4,400800,800,PinalCountyGilaCounty,85014,23.7,21281,14825,13798,16641,27154,12597,5273,32311,25725,27989,26259,3951,5338,877,1319,663,47445,17841,61218,5956,3932,80843,3372,595672.0093161126
Arizona,4,400900,900,CochiseCountySantaCruzCountyGrahamCountyGreenleeCounty,34125,18.3,9498,7955,5447,5344,11663,3717,1997,14218,8448,13954,15148,14287,931,,942,2241,25159,6719,2534,266,2445,30382,3692,26607.42564102564
Arkansas,5,500100,100,BentonCounty,27035,14.0,6077,3537,6702,6016,832,2478,15956,1179,11139,15599,656,18576,277,157,153,27,2213,742,17643,199,3025,22759,3686,19965.259848344736
Arkansas,5,500200,200,WashingtonCounty,34860,19.1,8806,3013,8120,9177,1227,228,18948,15913,16569,14945,472,2492,1145,247,183,364,28575,8346,2241,414,3080,30581,2582,41406.428571428565
Arkansas,5,500300,300,BaxterCountyBooneCountyCarrollCountyMarionCountyMadisonCountyNewtonCountySearcyCounty,24199,20.3,7258,1857,3094,5796,9776,3675,12475,11723,9929,9347,536,22517,59,,186,224,18222,353,18954,2191,903,23655,247,219178.3255506426
Arkansas,5,500400,400,IndependenceCountyCleburneCountySharpCountyVanBurenCountyIzardCountyFultonCountyStoneCounty,25074,23.6,7679,2296,4312,6203,99,3173,1268,12466,9544,8877,742,22689,664,48,494,2688,18445,368,19572,1894,408,24583,433,189478.0569514238
Arkansas,5,500500,500,CraigheadCountyGreeneCountyRandolphCountyLawrenceCountyClayCounty,33434,20.4,12824,2798,7159,10855,1214,249,17689,15745,15685,1687,263,29425,1434,24,218,2997,2496,5438,25233,2764,570,32825,295,276475.4710773464
Arkansas,5,500700,700,StFrancisCountyPhillipsCountyPoinsettCountyCrossCountyLeeCounty,22005,25.6,7010,730,3502,4900,9943,2929,13685,832,7367,6599,148,13297,7233,,315,2655,15762,4352,16996,656,134,21812,137,65677.23699159281
Arkansas,5,500800,800,WhiteCountyJacksonCountyMonroeCountyPrairieCountyWoodruffCounty,23736,23.0,6357,1163,4773,4476,966,3718,1795,12941,173,8379,592,1912,3512,,382,469,15353,5527,15773,2436,141,23593,142,243666.4518031682
Arkansas,5,500900,900,PulaskiCounty(part),29337,17.2,9549,3208,7944,9117,6569,2499,16375,12962,3535,918,2465,796,16696,1576,61,2855,23172,3366,23188,2782,1056,28213,205,278279.040119985
Arkansas,5,501000,1000,PulaskiCounty(part),27786,16.7,6687,2326,6151,9495,849,1766,15356,12431,7233,9911,3512,15977,7959,36,289,213,276,6213,1936,2213,2873,24893,2893,221306.96753760884
Arkansas,5,501100,1100,FaulknerCountySalineCountyLonokeCounty,39601,15.3,9867,3970,7304,9624,14642,461,21149,18453,14371,14268,1313,31642,453,439,1192,759,3188,1798,2726,1777,676,38535,946,177706.88366455393
Arkansas,5,501200,1200,PopeCountyJohnsonCountyYellCountyConwayCountyPerryCounty,22087,18.6,5974,2131,5312,5025,734,2585,1166,1121,956,7367,1571,19317,536,18,251,1934,16622,441,16118,1568,521,21468,450,156872.9750531987
Arkansas,5,501300,1300,SebastianCountyCrawfordCounty,29886,18.6,8949,2219,6384,8244,9824,3214,15614,14273,9674,9712,394,2854,1631,187,1381,4222,21137,4791,2351,1595,3162,26078,2728,159507.86655959312
Arkansas,5,501400,1400,LoganCountyPolkCountyFranklinCountySevierCountyHowardCountyScottCounty,20084,24.1,5685,2775,3966,3407,7615,232,1645,9439,7746,9337,2233,15595,227,145,34,1594,15145,443,15638,43,929,18752,1242,4377.862975502888
Arkansas,5,501500,1500,GarlandCountyHotSpringCountyClarkCountyMontgomeryCounty,31568,24.2,7521,2164,5724,5653,1416,3921,1734,14264,1255,9424,2537,23962,4326,166,475,367,2331,782,22763,1723,452,29561,1896,172372.10783071464
Arkansas,5,501600,1600,JeffersonCountyArkansasCountyGrantCounty,14917,15.8,3239,1227,2805,4009,5183,1694,9411,557,366,418,521,7634,6633,72,58,1263,9189,2137,11776,15,292,14622,224,1578.9434872963734
Arkansas,5,501700,1700,AshleyCountyDrewCountyDeshaCountyLincolnCountyChicotCountyBradleyCountyClevelandCounty,20535,24.9,7538,921,4035,5574,796,299,1257,7965,91,7433,1489,11438,768,,,3428,12746,415,1552,911,571,19583,952,91107.55782809836
Arkansas,5,501800,1800,UnionCountyOuachitaCountyColumbiaCountyDallasCountyCalhounCounty,15359,17.4,4657,1352,3421,2995,534,2251,779,8281,3347,6236,918,7967,6185,5,285,221,11782,4235,1599,526,311,14935,424,52610.41083403867
Arkansas,5,501900,1900,MillerCountyHempsteadCountyLittleRiverCountyPikeCountyNevadaCountyLafayetteCounty,19785,22.4,6131,1909,3284,3959,8232,241,1955,883,7552,8221,121,13569,394,513,553,2839,1413,3937,15617,232,432,19309,476,23278.933535506698
California,6,600100,100,SiskiyouCountyLassenCountyDelNorteCountyModocCounty,14936,15.0,3593,1384,2334,1855,643,332,888,6848,4198,3762,272,1444,235,567,182,2829,8949,242,1276,2258,698,13997,622,225808.5431173005
California,6,600200,200,HumboldtCounty,23461,20.3,1197,2222,6153,4493,769,293,11958,1153,4854,6466,363,17369,311,41,1755,2742,1474,2914,1734,3512,410,22525,671,351207.3909893014
California,6,600300,300,ShastaCounty,25844,17.7,3350,3008,5280,6255,7992,339,14993,1851,8869,7461,2752,2272,54,1283,662,291,18522,2675,2662,256,391,24660,664,25610.300263117166
California,6,600400,400,MendocinoCountyLakeCounty,28858,23.1,7686,3892,5003,4648,9574,574,1631,12827,7117,8237,623,19533,165,389,62,396,19995,4316,21338,325,1453,26964,1722,32573.941368078176
California,6,600500,500,TehamaCountyGlennCountyColusaCountyTrinityCounty,21633,20.9,1157,4449,3912,5085,5324,2863,12857,8776,7556,1214,752,13114,186,61,594,271,16155,433,14544,2759,2018,18757,2876,275967.23061988625
California,6,600600,600,ButteCounty,42005,22.9,6786,8807,8686,7149,13486,3877,23326,18679,14,1621,1673,25292,644,2433,2165,3785,31988,564,26263,1678,1895,39858,1348,167862.52350910607
California,6,600700,700,NevadaCountyPlumasCountySierraCounty,19144,20.0,1534,2935,1964,3648,7544,353,1428,8715,7253,6589,1386,1692,268,12,1283,891,1375,1475,15553,2116,18,19040,104,211681.2421646469
California,6,600800,800,SutterCountyYubaCounty,28823,19.9,4824,4789,6724,5605,8996,271,1489,1414,9955,1153,8977,13347,192,491,1251,2566,22497,6271,19969,2584,2145,24480,1570,258469.28147659855
California,6,600900,900,YoloCounty,21465,12.1,2827,4050,4358,5363,5176,2517,13971,7494,6916,9349,1376,6987,,263,138,21,1557,435,14791,2324,3204,16191,3745,232468.90752387609
California,6,601000,1000,NapaCounty,17862,15.8,3607,3971,3169,2640,6687,1395,1385,7477,3969,7263,8487,7388,717,1188,82,1681,14378,5792,1423,1646,4510,11560,5717,164607.96663307582
California,6,601101,1101,SonomaCounty(part),21396,14.7,3127,2680,2459,4026,8679,3552,1239,11157,6937,7354,9279,9839,418,948,347,1988,16149,4797,13287,3312,2361,17538,2849,331262.1003925968
California,6,601102,1102,SonomaCounty(part),13306,12.9,2072,862,3530,4581,2733,1599,7416,589,3755,2775,4193,7627,,68,714,36,11114,2261,985,196,751,12049,1112,19607.402675484744
California,6,601103,1103,SonomaCounty(part),24008,15.1,3134,4978,4289,3720,8468,2553,14115,9893,5621,1649,11339,9988,717,128,588,1847,19619,6595,14546,2867,5143,18483,4982,286760.58813728753
California,6,601201,1201,MarinCounty(part),8692,10.5,269,515,496,1295,512,1374,477,3922,2116,165,811,7377,19,,326,675,681,75,5251,2736,282,8046,443,273660.41187298665
California,6,601202,1202,MarinCounty(part),12918,10.4,1571,1113,1639,2296,5618,2252,777,5211,3214,3149,4377,655,525,83,355,1213,8859,2594,784,3241,1762,10313,1941,324106.06905093667
California,6,601301,1301,SolanoCounty(part),16209,13.0,1447,2798,2947,2956,5453,254,9348,6861,289,549,386,4463,3443,3614,417,967,1158,2144,12145,192,2462,12493,1450,19274.927509408353
California,6,601302,1302,SolanoCounty(part),13046,10.5,1598,691,3286,3740,425,1124,7311,5735,55,3736,4555,245,1881,344,682,494,9478,3186,784,256,3136,9183,1857,25606.009504829068
California,6,601303,1303,SolanoCounty(part),11476,10.2,1093,1305,2383,2635,441,751,843,3433,2219,29,2869,7211,12,17,89,624,825,1967,83,1479,1156,10573,903,147900.72324851865
California,6,601401,1401,SacramentoCounty(part),32691,18.6,6844,1948,9133,8398,152,2692,232,12371,725,8516,1329,1658,29,5173,449,255,2359,7112,21496,483,3233,26691,3934,48365.75510079227
California,6,601402,1402,SacramentoCounty(part),10544,12.0,2952,254,2514,3561,2915,13,6443,41,155,1278,2733,336,2164,1849,442,996,6412,2762,73,751,1473,8435,703,75100.69233687405
California,6,601403,1403,SacramentoCounty(part),19963,13.7,5553,3154,5447,4024,5718,1621,11162,881,466,6745,5276,4433,384,4143,1657,144,1336,435,13786,1827,2580,15702,1784,182769.05775685018
California,6,601501,1501,SacramentoCounty(part),22478,16.7,6273,3311,4476,4642,878,1269,12121,1357,7425,7458,4794,1346,989,2446,45,114,15164,431,16967,148,2666,18108,534,14875.482694189875
California,6,601502,1502,SacramentoCounty(part),14395,16.4,1781,1161,3865,2752,5349,1267,726,7189,3895,3718,2353,9292,228,25,1153,1253,998,2175,1163,1157,718,12547,910,115708.07919416463
California,6,601503,1503,SacramentoCounty(part),24262,16.5,3258,2503,4490,4304,1595,237,1694,8168,5165,6653,2876,13917,348,2956,115,3935,1448,3143,16299,4821,1350,22609,265,482167.17912785424
California,6,601504,1504,SacramentoCounty(part),21919,16.3,4654,2551,3859,5959,662,2948,11131,1788,643,7314,379,12569,1861,1266,251,2684,13821,2371,16329,3218,1275,20060,741,321874.497011725
California,6,601505,1505,SacramentoCounty(part),24620,15.4,4034,3329,4161,5979,8632,2519,13416,1124,8462,128,8136,496,2417,6414,1342,2563,1923,5875,1625,254,5613,16784,3410,25406.600324939074
California,6,601506,1506,SacramentoCounty(part),21775,12.6,3088,2479,4647,4223,8443,1982,1435,7425,627,6395,615,1119,1955,242,436,286,13727,4763,1511,191,1404,18366,1710,19106.93915040184
California,6,601601,1601,PlacerCounty(part),16693,10.4,1546,2208,2782,3808,5973,1921,946,7287,5245,667,3396,11419,,742,892,2454,11756,186,165,4229,988,15103,1352,422900.98843826755
California,6,601602,1602,PlacerCounty(part),14065,10.2,1413,3094,456,4055,4865,1595,7497,6568,3254,655,1518,171,455,888,1133,1234,11328,472,11249,2343,358,13642,345,234379.9786704586
California,6,601700,1700,ElDoradoCounty,19674,12.9,1340,2463,3732,3920,6648,2911,11515,8159,64,5258,3825,14571,133,31,828,671,14762,225,1582,2342,1101,18116,1147,234208.04106943173
California,6,601800,1800,TuolumneCountyCalaverasCountyAmadorCountyInyoCountyMariposaCountyMonoCountyAlpineCounty,30060,20.1,3010,1460,2652,6095,13768,686,2768,9292,845,4693,666,19915,1613,614,564,5516,15113,5192,2541,4328,2234,27808,1192,432808.4530938124
